Date,App_Name,Category,Minutes_Used
2026-08-18,YouTube,Entertainment,71
2026-08-18,Netflix,Entertainment,25
2026-08-18,Spotify,Entertainment,27
2026-08-18,VS Code,Coding,64
2026-08-18,GitHub,Coding,25
2026-08-18,LeetCode,Education,43
2026-08-18,Coursera,Education,18
2026-08-18,Gmail,Productivity,13
2026-08-18,Google Docs,Productivity,15
2026-08-19,Instagram,Social Media,67
2026-08-19,WhatsApp,Social Media,30
2026-08-19,Twitter/X,Social Media,19
2026-08-19,YouTube,Entertainment,81
2026-08-19,Netflix,Entertainment,27
2026-08-19,Spotify,Entertainment,30
2026-08-19,VS Code,Coding,93
2026-08-19,GitHub,Coding,17
2026-08-19,LeetCode,Education,43
2026-08-19,Coursera,Education,14
2026-08-19,Gmail,Productivity,12
2026-08-19,Google Docs,Productivity,20
2026-08-20,Instagram,Social Media,108
2026-08-20,WhatsApp,Social Media,52
2026-08-20,Twitter/X,Social Media,24
2026-08-20,YouTube,Entertainment,54
2026-08-20,Netflix,Entertainment,29
2026-08-20,Spotify,Entertainment,27
2026-08-20,VS Code,Coding,95
2026-08-20,GitHub,Coding,17
2026-08-20,LeetCode,Education,29
2026-08-20,Coursera,Education,11
2026-08-20,Gmail,Productivity,16
2026-08-20,Google Docs,Productivity,17
2026-08-21,Instagram,Social Media,68
2026-08-21,WhatsApp,Social Media,58
2026-08-21,Twitter/X,Social Media,45
2026-08-21,YouTube,Entertainment,73
2026-08-21,Netflix,Entertainment,34
2026-08-21,Spotify,Entertainment,35
2026-08-21,VS Code,Coding,107
2026-08-21,GitHub,Coding,16
2026-08-21,LeetCode,Education,27
2026-08-21,Coursera,Education,14
2026-08-21,Gmail,Productivity,14
2026-08-21,Google Docs,Productivity,20
2026-08-22,Instagram,Social Media,92
2026-08-22,WhatsApp,Social Media,65
2026-08-22,Twitter/X,Social Media,45
2026-08-22,YouTube,Entertainment,94
2026-08-22,Netflix,Entertainment,53
2026-08-22,Spotify,Entertainment,44
2026-08-22,VS Code,Coding,41
2026-08-22,GitHub,Coding,5
2026-08-22,LeetCode,Education,9
2026-08-22,Coursera,Education,5
2026-08-22,Gmail,Productivity,5
2026-08-22,Google Docs,Productivity,6
2026-08-23,Instagram,Social Media,78
2026-08-23,WhatsApp,Social Media,70
2026-08-23,Twitter/X,Social Media,38
2026-08-23,YouTube,Entertainment,121
2026-08-23,Netflix,Entertainment,55
2026-08-23,Spotify,Entertainment,40
2026-08-23,VS Code,Coding,45
2026-08-23,GitHub,Coding,9
2026-08-23,LeetCode,Education,17
2026-08-23,Coursera,Education,7
2026-08-23,Gmail,Productivity,7
2026-08-23,Google Docs,Productivity,5
